SKU,Own_Brand_Retail_Price,Competitor_Retail_Price
SKU000361,420.46,449.89
SKU000362,636.7,581.87
SKU000363,495.09,514.01
SKU000364,665.26,607.12
SKU000365,237.38,251.15
SKU000366,126.1,127.42
SKU000367,636.42,643.53
SKU000368,306.9,299.33
SKU000369,453.05,489.6
SKU000370,574.81,575.86
SKU000371,240.61,229.08
SKU000372,437.03,465.36
SKU000373,746.8,813.73
SKU000374,647.09,613.74
SKU000375,508.29,518.99
SKU000376,653.48,665.06
SKU000377,646.73,660.91
SKU000378,597.84,605.52
SKU000379,285.49,262.66
SKU000380,98.2,96.48
SKU000381,298.51,327.51
SKU000382,80.74,74.09
SKU000383,108.59,112.27
SKU000384,715.15,771.55
SKU000385,563.13,529.42
SKU000386,640.66,679.41
SKU000387,465.21,441.18
SKU000388,321.01,290.86
SKU000389,37.79,37.95
SKU000390,669.7,697.94
SKU000391,66.05,62.05
SKU000392,498.79,455.94
SKU000393,81.66,82.53
SKU000394,224.48,208.66
SKU000395,176.72,165.56
SKU000396,481.59,501.19
SKU000397,720.88,737.04
SKU000398,528.12,575.33
SKU000399,579.03,558.58
SKU000400,696.89,657.08
SKU000401,530.03,546.54
SKU000402,639.54,699.91
SKU000403,310.02,313.34
SKU000404,701.33,672.41
SKU000405,472.54,511.33
SKU000406,124.41,127.16
SKU000407,47.41,44.69
SKU000408,189.9,206.98
SKU000409,278.72,266.07
SKU000410,688.91,743.81
SKU000411,594.41,608.03
SKU000412,650.4,650.74
SKU000413,486.37,470.08
SKU000414,539.48,498.36
SKU000415,203.45,193.07
SKU000416,512.35,495.03
SKU000417,521.37,499.34
SKU000418,601.67,550.33
SKU000419,431.08,437.96
SKU000420,496.16,493.7
SKU000421,183.66,169.2
SKU000422,604.96,600.59
SKU000423,596.88,546.62
SKU000424,436.64,474.32
SKU000425,111.81,106.42
SKU000426,239.95,250.74
SKU000427,349.69,332.29
SKU000428,551.09,548.28
SKU000429,238.35,259
SKU000430,613.86,659.49
SKU000431,269.94,285
SKU000432,44.15,46.71
SKU000433,544.59,579.82
SKU000434,472.71,495.65
SKU000435,671.35,724.64
SKU000436,303.71,294.61
SKU000437,27.28,27.42
SKU000438,78.63,80.93
SKU000439,101.97,95.81
SKU000440,643.02,643.44
SKU000441,229.7,212.43
SKU000442,785.31,802.84
SKU000443,607.44,558.56
SKU000444,486.46,486.79
SKU000445,712.41,706.95
SKU000446,240.12,221.48
SKU000447,142.68,140.95
SKU000448,488.46,505.83
SKU000449,232.15,236.55
SKU000450,747.91,741.63
SKU000451,784.63,763.44
SKU000452,736.38,671.19
SKU000453,730.79,797.42
SKU000454,466.8,457.72
SKU000455,588.87,579.03
SKU000456,89.01,82.39
SKU000457,608.41,612.39
SKU000458,143.37,157.11
SKU000459,627.61,596.61
SKU000460,721.42,694.49
SKU000461,177.39,168.03
SKU000462,71.2,76.42
SKU000463,324.21,322.6
SKU000464,637.79,679.06
SKU000465,618.8,662.13
SKU000466,545.2,572.36
SKU000467,586.67,558.63
SKU000468,137.49,124.71
SKU000469,479.79,445.56
SKU000470,461.62,479.8
SKU000471,117.48,123.13
SKU000472,311.23,327.81
SKU000473,682.27,647.33
SKU000474,673.19,626.48
SKU000475,507.37,550.3
SKU000476,654.15,675.63
SKU000477,120.93,126.78
SKU000478,688.88,632.93
SKU000479,40.8,40.09
SKU000480,370.23,337.89
SKU000481,233.19,240.55
SKU000482,669.63,668.2
SKU000483,183.2,181.42
SKU000484,23.07,24.93
SKU000485,328.89,344.68
SKU000486,61.42,67.12
SKU000487,228.07,207.37
SKU000488,449.47,459.87
SKU000489,229.6,235.58
SKU000490,229.91,208.14
SKU000491,122.56,129.6
SKU000492,115.34,107.35
SKU000493,386.05,401.59
SKU000494,533.18,483.9
SKU000495,381.37,390.04
SKU000496,97.98,98.39
SKU000497,476.51,474.92
SKU000498,384.82,374.56
SKU000499,328.22,322.98
SKU000500,245.6,244.47
SKU000501,141.03,135.32
SKU000502,143.65,156.16
SKU000503,258.14,282.15
SKU000504,46.15,44.3
SKU000505,373.81,394.65
SKU000506,488.9,513.5
SKU000507,818.81,880.32
SKU000508,545.93,491.76
SKU000509,492.93,476.97
SKU000510,271.64,252.35
SKU000511,119.11,116.51
SKU000512,351.17,356.48
SKU000513,515.3,557.44
SKU000514,536.49,572.93
SKU000515,618.02,617.9
SKU000516,190.13,172.01
SKU000517,201.02,193.02
SKU000518,450.08,414.67
SKU000519,444.98,458.39
SKU000520,198.08,205.82
SKU000521,428.01,440.75
SKU000522,278.98,266.41
SKU000523,443.95,481.2
SKU000524,227.09,231.11
SKU000525,441.74,450.33
SKU000526,676.99,719.72
SKU000527,770.57,704.18
SKU000528,728.09,685.8
SKU000529,415.24,422.68
SKU000530,365.54,373.61
SKU000531,361.8,359.4
SKU000532,31.44,33.2
SKU000533,128.18,124.22
SKU000534,59.01,53.24
SKU000535,496.44,480.55
SKU000536,315.63,345.04
SKU000537,61.26,64.68
SKU000538,485.53,467.88
SKU000539,495.41,467.91
SKU000540,582.16,618.29
SKU000541,431.62,405.71
SKU000542,146.87,149.23
SKU000543,63.77,63.87
SKU000544,658.24,648.06
SKU000545,186.86,184.09
SKU000546,396.25,412.29
SKU000547,401.73,369.82
SKU000548,646.28,632.74
SKU000549,390.65,427.24
SKU000550,458.66,484.18
SKU000551,269.18,243.39
SKU000552,689.01,681.71
SKU000553,441.68,407.86
SKU000554,19.74,19.68
SKU000555,457.16,420.91
SKU000556,259.18,253.44
SKU000557,41.86,42.24
SKU000558,351.46,342.13
SKU000559,580.97,590.1
SKU000560,364.1,399.42
SKU000561,467.99,444.2
SKU000562,495.57,501.96
SKU000563,498.5,495.64
SKU000564,301.86,320.53
SKU000565,303.23,292
SKU000566,21.5,22.09
SKU000567,124.46,129.26
SKU000568,743.07,813.76
SKU000569,658.99,613.03
SKU000570,225.76,248.26
SKU000571,324.67,339.03
SKU000572,779.28,772.48
SKU000573,202.18,192.62
SKU000574,426.4,437.38
SKU000575,34.87,32.37
SKU000576,487.53,531.09
SKU000577,768.25,719.76
SKU000578,612.86,646.48
SKU000579,378.17,366.46
SKU000580,516.17,486.84
SKU000581,490.69,520.98
SKU000582,65.71,70.81
SKU000583,142.59,128.49
SKU000584,747.75,818.66
SKU000585,217.95,214.55
SKU000586,349.63,321.39
SKU000587,453.27,449.03
SKU000588,723.11,667.95
SKU000589,547.97,521.53
SKU000590,558.45,564.87
SKU000591,447.35,434.75
SKU000592,541.42,511.95
SKU000593,531.51,499.25
SKU000594,636.47,653.86
SKU000595,407.33,440.71
SKU000596,353.32,321.98
SKU000597,610.38,579.16
SKU000598,641.31,662.53
SKU000599,135.32,148.51
SKU000600,183.09,189.73
SKU000601,773.95,704.7
SKU000602,316.09,295.79
SKU000603,389.43,377.57
SKU000604,249.85,232.73
SKU000605,337.68,316.22
SKU000606,528.41,504.49
SKU000607,401.3,391.09
SKU000608,232.51,227.48
SKU000609,94.48,94.47
SKU000610,766.59,832.25
SKU000611,681.67,748.93
SKU000612,587.17,530.77
SKU000613,481.06,480.46
SKU000614,418.31,439.4
SKU000615,655.06,599.16
SKU000616,596.2,648.81
SKU000617,676.53,735.75
SKU000618,247.1,232.69
SKU000619,336.06,355.27
SKU000620,539.11,547.89
SKU000621,308.16,279.43
SKU000622,365.37,350.56
SKU000623,524.65,499.82
SKU000624,380.47,409.36
SKU000625,580.63,626.79
SKU000626,94.05,85.29
SKU000627,601.95,631.01
SKU000628,133.95,123.77
SKU000629,764.51,808.99
SKU000630,233.36,249.49
SKU000631,639.61,583.23
SKU000632,431.04,416.06
SKU000633,80.03,78.1
SKU000634,454.36,495.72
SKU000635,654.25,637.36
SKU000636,122.93,116.93
SKU000637,272.17,278.69
SKU000638,371.04,345.73
SKU000639,212.57,217.89
SKU000640,694.71,688.95
SKU000641,317.23,331.91
SKU000642,496.86,504.69
SKU000643,177.29,165.82
SKU000644,172.66,187.76
SKU000645,135.31,133.92
SKU000646,353.25,370.53
SKU000647,399.93,402.48
SKU000648,21.21,22.76
SKU000649,581.72,562.76
SKU000650,380.6,391.17
SKU000651,136.03,124.59
SKU000652,65.89,60.33
SKU000653,65.95,70.48
SKU000654,235.51,250.51
SKU000655,363.41,353.18
SKU000656,698.49,723.08
SKU000657,643.56,685.9
SKU000658,687,638.07
SKU000659,238.89,262.05
SKU000660,240.21,258.75
SKU000661,726.93,754.69
SKU000662,555.38,560.18
SKU000663,259.62,280.13
SKU000664,278.8,292.15
SKU000665,350.6,356.54
SKU000666,456.05,491.77
SKU000667,699.74,659.24
SKU000668,182.03,172.72
SKU000669,71.62,77.78
SKU000670,335.66,306.6
SKU000671,193.68,176.1
SKU000672,492.29,521.03
SKU000673,498.78,490.2
SKU000674,264.54,286.56
SKU000675,520.94,500.17
SKU000676,233.92,223.97
SKU000677,481.86,525.92
SKU000678,453.01,457.88
SKU000679,210.53,215.32
SKU000680,489.75,528.74
SKU000681,277.71,271.09
SKU000682,237.93,225.93
SKU000683,258.65,262.33
SKU000684,269.04,264.2
SKU000685,561.21,523.45
SKU000686,176.37,162.92
SKU000687,585.66,612.07
SKU000688,680.72,617.3
SKU000689,256.21,257.62
SKU000690,34.83,33.64
SKU000691,35.43,32.96
SKU000692,121.47,130.96
SKU000693,91.3,95.69
SKU000694,654.52,690.27
SKU000695,231.44,228.47
SKU000696,503.87,518.82
SKU000697,49.16,45.13
SKU000698,232.72,215.93
SKU000699,186.3,179.69
SKU000700,215.4,213.58
SKU000701,158.37,145.5
SKU000702,440.04,445.76
SKU000703,525.01,497.69
SKU000704,134.29,141.66
SKU000705,568.09,511.33
SKU000706,218.43,234.42
SKU000707,228.66,239.3
SKU000708,623.84,629.6
SKU000709,697.29,730.42
SKU000710,726.28,706.61
SKU000711,118.63,110.62
SKU000712,744.72,671.61
SKU000713,497.39,502.22
SKU000714,419.31,401.86
SKU000715,831.1,783.34
SKU000716,604.03,648.37
SKU000717,508.56,531.46
SKU000718,719.16,789.66
SKU000719,289.33,298.68
SKU000720,530.05,571.96
SKU000721,147.94,136.65
SKU000722,682.39,712.79
SKU000723,420.63,385.82
SKU000724,652.82,599.89
SKU000725,345.21,369.92
SKU000726,521.33,506.74
SKU000727,305.17,293.97
SKU000728,446.54,418.3
SKU000729,563.08,561.38
SKU000730,113.71,106.97
SKU000731,261.16,263.14
SKU000732,401.16,414.03
SKU000733,240.16,247.6
SKU000734,268.78,261.5
SKU000735,222.34,231.41
SKU000736,213.77,203.77
SKU000737,628.49,667.16
SKU000738,706.4,635.78
SKU000739,522.78,571.56
SKU000740,39.04,38.52
SKU000741,600.11,580.19
SKU000742,396.75,406.63
SKU000743,548.03,589.58
SKU000744,395.08,383.43
SKU000745,50.46,46.12
SKU000746,505.72,490.94
SKU000747,315.47,284.24
SKU000748,704.63,660.24
SKU000749,607.7,553.25
SKU000750,265.75,259.78
SKU000751,551.22,502.68
SKU000752,378.73,415.39
SKU000753,181.74,191.99
SKU000754,339.16,333.7
SKU000755,166.77,176.46
SKU000756,17.53,17.24
SKU000757,212.87,219.13
SKU000758,184.54,196.41
SKU000759,17.98,18.64
SKU000760,669.91,614.24
SKU000761,81.74,74.28
SKU000762,384.57,389.95
SKU000763,332.94,312.73
SKU000764,171.13,187.7
SKU000765,721.5,651.7
SKU000766,480.52,504.4
SKU000767,650.33,590.82
SKU000768,421.33,430.67
SKU000769,545.38,536.66
SKU000770,808.81,830.3
SKU000771,294.37,309.79
SKU000772,383.41,347.61
SKU000773,362.52,364.06
SKU000774,750.56,816.96
SKU000775,181.2,170.97
SKU000776,525.76,481.33
SKU000777,128.75,135.73
SKU000778,782.97,820.78
SKU000779,442.03,432.32
SKU000780,726.86,774.87
SKU000781,621.39,626.85
SKU000782,413.4,411.36
SKU000783,604.18,643.07
SKU000784,499.63,459.47
SKU000785,334.54,316.07
SKU000786,375.74,371.54
SKU000787,178.2,163.42
SKU000788,295.79,325.12
SKU000789,754.03,725.91
SKU000790,238.78,260.16
SKU000791,537.53,534.78
SKU000792,57.32,62.19
SKU000793,369.97,365.53
SKU000794,61.09,64.94
SKU000795,348.77,366.29
SKU000796,38.88,42.36
SKU000797,431.46,443.32
SKU000798,416.33,393.61
SKU000799,663.15,668.71
SKU000800,474.22,440.63
SKU000801,707.15,683.8
SKU000802,628.55,664.9
SKU000803,119.06,107.49
SKU000804,203.91,208.84
SKU000805,36.03,37.42
SKU000806,307.41,331.99
SKU000807,404.85,425.62
SKU000808,684.93,671.62
SKU000809,415.49,437.56
SKU000810,596.56,611.53
SKU000811,195.49,198.88
SKU000812,132.41,121.12
SKU000813,622.89,627.83
SKU000814,199.3,213.93
SKU000815,612.52,604.78
SKU000816,140.96,146.72
SKU000817,722.31,780.63
SKU000818,561.01,564.84
SKU000819,449.6,412.56
SKU000820,679.81,619.2
SKU000821,267.53,283.46
SKU000822,150.57,136.5
SKU000823,131.09,144.17
SKU000824,230.19,213.04
SKU000825,339.43,358.11
SKU000826,662.64,711.37
SKU000827,80.14,77.04
SKU000828,754.97,761.25
SKU000829,686.6,748.72
SKU000830,565.09,616.53
SKU000831,650.89,706.88
SKU000832,525.96,502.28
SKU000833,460.51,419.94
SKU000834,444.19,408.9
SKU000835,451.5,419.16
SKU000836,118.19,122.25
SKU000837,145.48,154.28
SKU000838,368.26,335.14
SKU000839,115.09,124.08
SKU000840,683.31,717.11
SKU000841,410.27,412.76
SKU000842,334.16,366.91
SKU000843,145.18,138.36
SKU000844,344.04,324.64
SKU000845,261.42,252.78
SKU000846,85.73,86.18
SKU000847,706.76,690.76
SKU000848,222.22,236.86
SKU000849,559.66,603.82
SKU000850,72.06,78.79
SKU000851,742.85,790.13
SKU000852,429.81,439.1
SKU000853,557.89,570.57
SKU000854,520.95,488.29
SKU000855,479.73,457.01
SKU000856,77.45,85.15
SKU000857,358.59,341.47
SKU000858,194.45,193.16
SKU000859,340.97,333.15
SKU000860,335.7,348.34
SKU000861,648.58,627.24
SKU000862,209.36,217.02
SKU000863,158.9,173.54
SKU000864,703.92,669.06
SKU000865,673.12,655.71
SKU000866,762.14,738.08
SKU000867,413.57,397.06
SKU000868,94.59,90.24
SKU000869,729.79,748.77
SKU000870,131.54,132.81
SKU000871,135.21,135.44
SKU000872,150.74,159.8
SKU000873,546.56,507.92
SKU000874,100.34,93.71
SKU000875,568.19,569.67
SKU000876,59.13,57.4
SKU000877,112.93,105.56
SKU000878,315.83,327.87
SKU000879,309.51,309.27
SKU000880,828.72,779.37
SKU000881,752.77,717.3
SKU000882,162.36,169.6
SKU000883,735.93,710.54
SKU000884,548.95,516.51
SKU000885,310.42,339.33
SKU000886,629.49,577.63
SKU000887,704.34,654.6
SKU000888,160.8,167.79
SKU000889,179.44,176.77
SKU000890,327.73,344.31
SKU000891,134.36,135.78
SKU000892,305.3,277.23
SKU000893,564.24,585.02
SKU000894,617.59,655.36
SKU000895,246.56,249.16
SKU000896,247.76,238.22
SKU000897,613.72,554.25
SKU000898,315.53,341.19
SKU000899,608.27,633.45
SKU000900,773.19,702.8
SKU000901,691.67,738.79
SKU000902,473.14,430.85
SKU000903,298.43,311.05
SKU000904,60.97,63.34
SKU000905,528.99,573.02
SKU000906,678.78,633.36
SKU000907,75.46,76.48
SKU000908,18.26,18.42
SKU000909,649.85,589.41
SKU000910,94.59,97.21
SKU000911,74.5,70.84
SKU000912,632.76,611.56
SKU000913,80.43,76.27
SKU000914,101.64,92.61
SKU000915,456.36,425.93
SKU000916,583.6,549.44
SKU000917,298.3,302.91
SKU000918,340.35,315.5
SKU000919,457.22,495.69
SKU000920,393.19,372.1
SKU000921,30.42,31.34
SKU000922,99.75,92.92
SKU000923,486.2,514.9
SKU000924,580.32,530.59
SKU000925,561.81,588.51
SKU000926,530.91,519.57
SKU000927,586.3,582.26
SKU000928,50.05,48.71
SKU000929,686.28,672.84
SKU000930,654.03,589.32
SKU000931,460.67,417.01
SKU000932,205.3,217.37
SKU000933,434.3,409.41
SKU000934,493.4,503.99
SKU000935,179.94,185.46
SKU000936,460.53,478.77
SKU000937,584.35,595.73
SKU000938,678.95,696.44
SKU000939,58.44,59.39
SKU000940,148.35,161.05
SKU000941,558,576.37
SKU000942,680.02,660.02
SKU000943,415.56,403.64
SKU000944,497.42,455.6
SKU000945,34,37.34
SKU000946,482.2,519.89
SKU000947,740.35,672.69
SKU000948,514.3,551.51
SKU000949,720.74,668.62
SKU000950,433.77,411.13
SKU000951,629.76,652.53
SKU000952,100.39,105.01
SKU000953,102.29,102.41
SKU000954,116.95,127.89
SKU000955,399.7,398.87
SKU000956,233.66,222.37
SKU000957,622.03,560.95
SKU000958,658.03,706.37
SKU000959,502.75,492.22
SKU000960,201.85,213.26
SKU000961,714.19,753.31
SKU000962,387.62,352.24
SKU000963,606.27,645.26
SKU000964,670.44,642.17
SKU000965,711.83,760.41
SKU000966,398.35,397.73
SKU000967,585.51,596.24
SKU000968,442.97,407.65
SKU000969,416.54,406.48
SKU000970,474.02,518.66
SKU000971,389.64,422.83
SKU000972,289.1,317.67
SKU000973,503.4,504.43
SKU000974,188.43,200.42
SKU000975,484.59,480.23
SKU000976,568.09,618.24
SKU000977,706.06,774.69
SKU000978,290.92,312.9
SKU000979,618.25,633.23
SKU000980,705.69,774.7
SKU000981,495.51,543.45
SKU000982,625.15,622.03
SKU000983,318.78,306.27
SKU000984,723.12,677.91
SKU000985,512.03,530.16
SKU000986,266.85,242.02
SKU000987,320.65,337.57
SKU000988,479.02,436.03
SKU000989,199.08,189.74
SKU000990,616.67,616.42
SKU000991,181.62,167
SKU000992,469.45,425.91
SKU000993,508.94,506.88
SKU000994,689,742.3
SKU000995,524.95,515.32
SKU000996,623.81,586.42
SKU000997,668.76,656.5
SKU000998,475.23,496.39
